Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,117.576035,117.727341,117.576035,117.477898,117.477898,0
2021-10-06,117.774048,118.518517,117.774048,117.727341,117.727341,0
2021-10-07,118.357018,118.357018,118.119118,118.384163,118.384163,0
2021-10-08,118.157951,118.621284,118.157951,118.119118,118.119118,0
2021-10-11,118.486008,119.159554,118.486008,118.541313,118.541313,0
2021-10-12,119.325668,119.325668,119.286247,119.159554,119.159554,0
2021-10-13,119.408211,119.408211,119.142639,119.286247,119.286247,0
2021-10-14,118.748222,118.898994,118.748222,119.142639,119.142639,0
2021-10-15,119.093849,119.093849,118.481636,118.898994,118.898994,0
2021-10-18,118.737862,118.999435,118.737862,118.481636,118.481636,0
2021-10-19,118.671371,118.671371,118.631447,118.999435,118.999435,0
2021-10-20,118.883820,118.883820,118.294373,118.631447,118.631447,0
2021-10-21,118.064018,118.172058,118.064018,118.294373,118.294373,0
2021-10-22,118.336220,118.336220,118.034126,118.172058,118.172058,0
2021-10-25,118.001694,118.537003,118.001694,118.006760,118.006760,0
2021-10-26,118.743347,118.743347,118.525528,118.537003,118.537003,0
2021-10-27,118.738014,118.738014,118.595779,118.525528,118.525528,0
2021-10-28,118.625954,118.625954,118.306778,118.595779,118.595779,0
2021-10-29,117.522614,118.396919,117.522614,118.306778,118.306778,0
2021-11-01,119.362053,119.362053,118.373024,118.396919,118.396919,0
2021-11-02,118.136238,118.136238,118.085793,118.373024,118.373024,0
2021-11-03,118.281029,118.281029,117.689194,118.085793,118.085793,0
2021-11-04,117.531479,117.667473,117.531479,117.689194,117.689194,0
2021-11-05,117.714333,117.714333,117.385933,117.667473,117.667473,0
2021-11-08,117.177666,117.177666,116.955048,117.385933,117.385933,0
2021-11-09,116.943932,116.943932,116.910683,116.955048,116.955048,0
2021-11-10,116.794701,117.480469,116.794701,116.910683,116.910683,0
2021-11-11,118.199402,118.199402,117.699715,117.480469,117.480469,0
2021-11-12,118.054703,118.054703,117.686623,117.699715,117.699715,0
2021-11-15,117.549026,117.631798,117.549026,117.686623,117.686623,0
2021-11-16,117.533203,117.533203,117.533203,117.631798,117.631798,0
2021-11-17,117.356972,117.617599,117.356972,117.533203,117.533203,0
2021-11-18,117.385468,117.385468,117.143021,117.617599,117.617599,0
2021-11-19,117.021301,117.231644,117.021301,117.143021,117.143021,0
2021-11-22,117.460419,117.620811,117.460419,117.231644,117.231644,0
2021-11-23,118.007561,118.007561,117.489517,117.620811,117.620811,0
2021-11-24,117.562691,117.562691,117.454414,117.489517,117.489517,0
2021-11-25,117.547173,117.547173,117.509354,117.454414,117.454414,0
2021-11-26,117.552826,118.325798,117.552826,117.509354,117.509354,0
2021-11-29,118.252396,118.514679,118.252396,118.325798,118.325798,0
2021-11-30,118.462219,118.669640,118.462219,118.514679,118.514679,0
2021-12-01,118.958984,118.958984,118.235359,118.669640,118.669640,0
2021-12-02,118.206657,118.445465,118.206657,118.235359,118.235359,0
2021-12-03,118.835434,118.835434,118.626747,118.445465,118.445465,0
2021-12-06,118.791115,118.986969,118.791115,118.577995,118.577995,0
2021-12-07,119.118797,119.158119,119.118797,118.986969,118.986969,0
2021-12-08,118.905647,119.291832,118.905647,119.158119,119.158119,0
2021-12-09,118.594063,119.329498,118.594063,119.291832,119.291832,0
2021-12-10,119.693405,119.693405,119.693405,119.482140,119.482140,0
2021-12-13,119.320808,119.723953,119.320808,119.241714,119.241714,0
2021-12-14,119.629517,119.925583,119.629517,119.723953,119.723953,0
2021-12-15,120.417290,120.628044,120.417290,119.925583,119.925583,0
2021-12-16,120.450096,120.450096,120.114632,120.628044,120.628044,0
2021-12-17,119.952301,119.952301,118.763695,120.114632,120.114632,0
2021-12-20,119.605972,119.919975,119.605972,119.583633,119.583633,0
2021-12-21,119.811546,119.811546,119.373802,119.919975,119.919975,0
2021-12-22,119.380676,119.380676,119.344681,119.373802,119.373802,0
2021-12-23,118.918510,118.918510,118.886040,119.344681,119.344681,0
2021-12-24,118.506485,118.506485,118.506485,118.886040,118.886040,0
2021-12-27,118.607529,118.607529,118.511345,118.506485,118.506485,0
2021-12-28,118.374199,118.374199,117.979088,118.511345,118.511345,0
2021-12-29,118.305870,118.305870,118.132080,117.979088,117.979088,0
2021-12-30,117.621857,117.621857,117.544090,118.132080,118.132080,0
2021-12-31,117.575241,117.575241,117.491806,117.544090,117.544090,0
2022-01-03,117.055328,117.467239,117.055328,117.491806,117.491806,0
2022-01-04,117.927467,117.927467,117.551315,117.467239,117.467239,0
2022-01-05,117.497154,117.497154,117.421082,117.551315,117.551315,0
2022-01-06,117.423157,117.590797,117.423157,117.421082,117.421082,0
2022-01-07,117.708374,117.708374,117.394669,117.590797,117.590797,0
2022-01-10,116.912178,117.020599,116.912178,116.811325,116.811325,0
2022-01-11,116.903954,116.903954,116.716782,117.020599,117.020599,0
2022-01-12,116.414474,116.878822,116.414474,116.716782,116.716782,0
2022-01-13,116.107910,116.681068,116.107910,116.878822,116.878822,0
2022-01-14,116.583389,117.066994,116.583389,116.681068,116.681068,0
2022-01-17,117.576096,117.576096,117.283249,117.066994,117.066994,0
2022-01-18,117.240112,117.855499,117.240112,117.283249,117.283249,0
2022-01-19,118.505043,118.505043,117.471626,117.855499,117.855499,0
2022-01-20,117.231209,117.733444,117.231209,117.471626,117.471626,0
2022-01-21,117.948265,117.948265,117.561371,117.733444,117.733444,0
2022-01-24,117.449387,117.802063,117.449387,117.561371,117.561371,0
2022-01-25,117.647995,118.062019,117.647995,117.802063,117.802063,0
2022-01-26,117.718964,118.251900,117.718964,118.062019,118.062019,0
2022-01-27,118.736176,118.736176,118.619003,118.251900,118.251900,0
2022-01-28,118.798302,118.798302,118.545013,118.619003,118.619003,0
2022-01-31,118.355370,118.355370,118.012146,118.441353,118.441353,0
2022-02-01,117.299896,118.114716,117.299896,118.012146,118.012146,0
2022-02-02,118.066010,118.378044,118.066010,118.114716,118.114716,0
2022-02-03,118.546181,118.546181,118.038666,118.378044,118.378044,0
2022-02-04,116.382294,118.086472,116.382294,118.038666,118.038666,0
2022-02-07,118.432739,118.432739,117.924835,118.086472,118.086472,0
2022-02-08,118.034668,118.050262,118.034668,117.924835,117.924835,0
2022-02-09,118.080750,118.195175,118.080750,118.050262,118.050262,0
2022-02-10,118.358177,118.358177,118.323807,118.195175,118.195175,0
